Country.Code;Country;ISO;Region.Code;Region
187;Saint Helena, Ascension and Tristan da Cunha;SHN;SSAF;Sub-Saharan Africa
188;Saint Kitts and Nevis;KNA;LAM;Latin America
189;Saint Lucia;LCA;LAM;Latin America
190;Saint Pierre and Miquelon;SPM;NAM;Northern America
191;Saint Vincent and the Grenadines;VCT;LAM;Latin America
192;San Marino;SMR;WEUR;Western Europe
193;Sao Tome and Principe;STP;SSAF;Sub-Saharan Africa
194;Saudi Arabia;SAU;NAFRI;Northern Africa and Western Asia
195;Senegal;SEN;SSAF;Sub-Saharan Africa
196;Seychelles;SYC;SSAF;Sub-Saharan Africa
197;Sierra Leone;SLE;SSAF;Sub-Saharan Africa
198;Slovenia;SVN;EEUR;Eastern and South-Eastern Europe
199;Slovakia;SVK;EEUR;Eastern and South-Eastern Europe
200;Singapore;SGP;EASIA;Eastern Asia
201;Somalia;SOM;SSAF;Sub-Saharan Africa
202;South Africa;ZAF;SSAF;Sub-Saharan Africa
203;Spain;ESP;WEUR;Western Europe
205;Western Sahara;ESH;NAFRI;Northern Africa and Western Asia
206;Sudan (former);SDN;SSAF;Sub-Saharan Africa
207;Suriname;SUR;LAM;Latin America
208;Tajikistan;TJK;CASIARU;Central Asia and Russian Federation
209;Swaziland;SWZ;SSAF;Sub-Saharan Africa
210;Sweden;SWE;WEUR;Western Europe
211;Switzerland;CHE;WEUR;Western Europe
212;Syrian Arab Republic;SYR;NAFRI;Northern Africa and Western Asia
213;Turkmenistan;TKM;CASIARU;Central Asia and Russian Federation
214;China, Taiwan Province of;TWN;EASIA;Eastern Asia
215;United Republic of Tanzania;TZA;SSAF;Sub-Saharan Africa
216;Thailand;THA;SEASIA;South-Eastern Asia
217;Togo;TGO;SSAF;Sub-Saharan Africa
218;Tokelau;TKL;OCEA;Oceania and Australia
219;Tonga;TON;OCEA;Oceania and Australia
220;Trinidad and Tobago;TTO;LAM;Latin America
221;Oman;OMN;NAFRI;Northern Africa and Western Asia
222;Tunisia;TUN;NAFRI;Northern Africa and Western Asia
223;Turkey;TUR;NAFRI;Northern Africa and Western Asia
224;Turks and Caicos Islands;TCA;LAM;Latin America
225;United Arab Emirates;ARE;NAFRI;Northern Africa and Western Asia
226;Uganda;UGA;SSAF;Sub-Saharan Africa
227;Tuvalu;TUV;OCEA;Oceania and Australia
228;USSR;SUN;CASIARU;Central Asia and Russian Federation
229;United Kingdom;GBR;WEUR;Western Europe
230;Ukraine;UKR;EEUR;Eastern and South-Eastern Europe
231;United States of America;USA;NAM;Northern America
232;US Minor Is.;UMI;OCEA;Oceania and Australia
233;Burkina Faso;BFA;SSAF;Sub-Saharan Africa
234;Uruguay;URY;LAM;Latin America
235;Uzbekistan;UZB;CASIARU;Central Asia and Russian Federation
236;Venezuela (Bolivarian Republic of);VEN;LAM;Latin America
237;Viet Nam;VNM;SEASIA;South-Eastern Asia
238;Ethiopia;ETH;SSAF;Sub-Saharan Africa
239;British Virgin Islands;VGB;LAM;Latin America
240;United States Virgin Islands;VIR;LAM;Latin America
242;Wake Island;WAK;OCEA;Oceania and Australia
243;Wallis and Futuna Islands;WLF;OCEA;Oceania and Australia
244;Samoa;WSM;OCEA;Oceania and Australia
248;Yugoslav SFR;YUG;EEUR;Eastern and South-Eastern Europe
249;Yemen;YEM;NAFRI;Northern Africa and Western Asia
250;Democratic Republic of the Congo;COD;SSAF;Sub-Saharan Africa
