Var1;Var2;value;year;region;type
Food;crop;6174111.97052243;1990;CN;price
OtherUses;crop;1027965.7189872;1990;CN;price
Food;lvst;258762.504397894;1990;CN;price
OtherUses;lvst;85342.0514089063;1990;CN;price
Food;crop;12808360.5656273;1991;EU;mass
OtherUses;crop;3755170.69537614;1991;EU;mass
Food;lvst;31328010.9998152;1991;EU;mass
OtherUses;lvst;3326550.56507443;1991;EU;mass
Food;crop;13734962.1795813;1991;EU;price
OtherUses;crop;5032022.74253316;1991;EU;price
Food;lvst;26061379.8678738;1991;EU;price
OtherUses;lvst;2133065.49042076;1991;EU;price
Food;crop;6477004.29779327;1991;US;mass
OtherUses;crop;1999350.35939124;1991;US;mass
Food;lvst;8670230.56781321;1991;US;mass
OtherUses;lvst;447727.88958236;1991;US;mass
Food;crop;6664584.01209591;1991;US;price
OtherUses;crop;2371022.38621142;1991;US;price
Food;lvst;9572322.84928821;1991;US;price
OtherUses;lvst;240523.033036305;1991;US;price
Food;crop;6574591.13956693;1991;CN;mass
OtherUses;crop;699420.19678146;1991;CN;mass
Food;lvst;401105.707596645;1991;CN;mass
OtherUses;lvst;321618.572402475;1991;CN;mass
Food;crop;6794603.32243988;1991;CN;price
OtherUses;crop;990382.129427099;1991;CN;price
Food;lvst;237992.983569629;1991;CN;price
OtherUses;lvst;362728.526736722;1991;CN;price
Food;crop;13687801.2234015;1992;EU;mass
OtherUses;crop;3837545.4951449;1992;EU;mass
Food;lvst;21859772.8487506;1992;EU;mass
OtherUses;lvst;4215532.24607911;1992;EU;mass
Food;crop;13768896.1778867;1992;EU;price
OtherUses;crop;5098221.90249136;1992;EU;price
Food;lvst;16820484.9081932;1992;EU;price
OtherUses;lvst;3171713.12136654;1992;EU;price
Food;crop;8381379.62470161;1992;US;mass
OtherUses;crop;2484215.84347193;1992;US;mass
Food;lvst;9989589.14467699;1992;US;mass
OtherUses;lvst;540824.522052533;1992;US;mass
Food;crop;8557476.58554623;1992;US;price
OtherUses;crop;2995665.9742721;1992;US;price
Food;lvst;11062607.7882549;1992;US;price
OtherUses;lvst;380616.946019406;1992;US;price
Food;crop;5124693.76153693;1992;CN;mass
OtherUses;crop;605559.89013583;1992;CN;mass
Food;lvst;388196.163405383;1992;CN;mass
