From.Country;original;estimated;difference;difference_percentage
Switzerland;4869994.36390576;2211997.65858468;-2657996.70532108;-54.5790509537542
Syrian Arab Republic;505253.287096407;495790.29391585;-9462.99318055803;-1.87292065627915
Tajikistan;406145.979432668;294113.926789735;-112032.052642932;-27.5841835980813
Thailand;53228464.3510637;54525574.3524079;1297110.00134421;2.43687285958362
The former Yugoslav Republic of Macedonia;518834.689205766;615503.144027252;96668.4548214859;18.63184109171
Timor-Leste;1762.86754349927;23171.6567077683;21408.7891642691;1214.42982164008
Togo;421226.797271473;324752.936367903;-96473.8609035706;-22.9030682588304
Trinidad and Tobago;93656.8344859457;101632.45141505;7975.61692910417;8.51578741997842
Tunisia;837723.640037153;999391.815064609;161668.175027457;19.2985093533097
Turkey;14236764.790154;15074571.179953;837806.389798991;5.88480881821136
Turkmenistan;227213.515200511;225936.382786568;-1277.13241394286;-0.562084703815186
Uganda;1011468.52025289;1281414.68500464;269946.164751748;26.6885384316513
Ukraine;43843970.5532788;46647260.4439502;2803289.89067148;6.39378654646469
United Arab Emirates;4159215.077397;4564077.20806084;404862.130663842;9.73409941851867
United Kingdom;15702027.7032681;15667320.2108169;-34707.4924512282;-0.221038283125716
United Republic of Tanzania;1429787.08185863;1620997.50611605;191210.424257427;13.3733495485821
United States of America;192863088.735358;203838094.578972;10975005.8436139;5.69056832781184
Uruguay;8267597.46084794;8374933.93471324;107336.4738653;1.29827890597726
USSR;0;0;0;
Uzbekistan;1102076.62568722;1434237.99161354;332161.365926327;30.1395890434753
Vanuatu;126286.642752724;129789.978425095;3503.33567237115;2.77411418658968
Venezuela (Bolivarian Republic of);101329.186399008;86071.3249772617;-15257.8614217464;-15.0577163046241
Viet Nam;17931312.6598539;24517214.6475294;6585901.98767547;36.7284989816753
Yemen;628862.194714638;714099.091299363;85236.8965847245;13.554145455254
Yugoslav SFR;0;0;0;
Zambia;1136665.79754942;865729.616518443;-270936.181030973;-23.8360458821841
Zimbabwe;692837.826028303;550538.834727898;-142298.991300405;-20.5385713589188
