To.Country;original;estimated;difference;difference_percentage
United States of America;79417495.0733343;89328731.0796779;9911236.00634354;12.4799151587336
Uruguay;1439282.93288174;1530080.73633809;90797.803456347;6.30854444126221
USSR;0;0;0;
Uzbekistan;3032009.60900873;3430284.13710351;398274.528094785;13.1356618036905
Vanuatu;30786.0792876379;59025.3907994956;28239.3115118577;91.7275345392785
Venezuela (Bolivarian Republic of);10283460.1199139;10667131.9610163;383671.841102438;3.73096055829943
Viet Nam;19971652.6541132;16898319.8749445;-3073332.7791687;-15.3884750170424
Yemen;6767263.76171062;6984634.71250814;217370.950797517;3.21209514586099
Yugoslav SFR;0;0;0;
Zambia;388652.679884666;398627.674734909;9974.99485024245;2.56655758895129
Zimbabwe;1394827.60794775;1471959.12138649;77131.5134387384;5.52982411584356
